Date,Load_power,Wind_power,Solar_power,DHI,DNI,GHI,Dew point,Solar zenith angle,Wind speed,Relative humidity,Temperature,SLP,PRCP,FRSHTT,Month_sin,Month_cos,Weekday_sin,Weekday_cos
2019-01-13,0.8,0.01,0.14,48.05,172.26,122.98,4.1,105.27,1.39,69.27,9.99,1019.8,0.0,0.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2019-01-14,0.93,0.05,0.02,23.78,0.87,24.18,6.26,105.15,2.34,79.65,9.73,1019.8,0.2,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-15,0.94,0.07,0.06,50.47,29.05,62.22,7.7,105.03,2.42,81.19,10.98,1017.1,0.2,1.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2019-01-16,0.96,0.07,0.05,42.52,34.24,55.92,11.73,104.9,2.76,87.57,13.85,1019.7,0.0,0.0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-01-17,0.95,0.12,0.02,27.48,4.22,28.3,12.33,104.76,3.1,90.99,13.79,1020.4,0.01,1.0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2019-01-18,0.92,0.0,0.09,63.26,73.18,89.88,7.61,104.63,1.05,72.65,13.02,1021.3,0.0,0.0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2019-01-19,0.82,0.01,0.18,24.99,320.78,162.34,4.94,104.48,1.57,55.36,14.92,1027.6,0.0,0.0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2019-01-20,0.78,0.01,0.13,56.76,148.11,123.06,8.49,104.34,1.56,65.58,15.8,1022.0,0.0,0.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2019-01-21,0.9,0.14,0.2,22.34,348.82,169.61,2.89,104.19,3.38,66.86,9.55,1013.4,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-22,0.92,0.18,0.19,31.08,289.65,162.09,-6.13,104.03,3.67,38.73,8.52,1022.7,0.0,0.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2019-01-23,0.92,0.01,0.19,23.03,343.4,170.38,-2.79,103.87,1.35,40.47,11.6,1029.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-01-24,0.91,0.04,0.18,27.45,317.35,162.81,0.91,103.71,2.05,45.92,13.33,1024.5,0.0,0.0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2019-01-25,0.9,0.01,0.2,24.68,343.54,176.38,-0.68,103.54,1.74,43.12,13.03,1024.3,0.0,0.0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2019-01-26,0.81,0.08,0.15,35.84,236.63,134.95,-0.82,103.37,2.6,39.17,13.99,1025.6,0.0,0.0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2019-01-27,0.78,0.01,0.16,31.86,269.11,151.05,3.77,103.19,1.31,45.21,16.36,1024.3,0.0,0.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2019-01-28,0.89,0.01,0.09,57.68,85.5,91.87,4.7,103.01,1.19,45.63,17.45,1018.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0
2019-01-29,0.9,0.01,0.13,52.84,136.42,125.15,6.4,102.82,1.33,52.11,17.21,1014.4,0.0,0.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2019-01-30,0.9,0.0,0.11,50.67,151.27,112.99,7.61,102.63,0.77,64.76,15.03,1013.1,0.0,0.0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-01-31,0.92,0.03,0.02,22.73,0.79,23.0,8.97,102.44,1.48,82.06,12.07,1013.6,0.0,0.0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2019-02-01,0.91,0.03,0.14,66.39,152.22,134.65,8.84,102.24,1.67,80.28,12.37,1015.3,0.02,0.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2019-02-02,0.85,0.23,0.01,18.42,4.53,19.24,8.88,102.04,4.18,85.84,11.2,1011.9,0.0,0.0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
2019-02-03,0.81,0.08,0.04,42.47,10.49,45.21,8.45,101.84,3.05,87.37,10.5,1009.3,0.14,1.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
2019-02-04,0.93,0.19,0.05,46.52,34.56,54.5,8.53,101.63,4.08,88.65,10.33,1008.7,0.0,0.0,0.8660254037844386,0.5000000000000001,0.0,1.0
2019-02-05,0.95,0.15,0.07,45.77,78.53,74.92,4.36,101.41,3.5,80.39,7.68,1007.7,0.0,0.0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2019-02-06,0.95,0.03,0.22,29.21,352.74,195.53,-2.48,101.2,1.7,62.9,5.07,1014.7,0.0,0.0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2019-02-07,0.91,0.02,0.21,29.71,333.34,192.64,-2.93,100.98,1.61,53.53,7.03,1025.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2019-02-08,0.91,0.02,0.21,29.43,335.78,194.99,-1.4,100.76,1.66,57.63,7.6,1022.7,0.0,0.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2019-02-09,0.84,0.03,0.14,35.56,192.89,136.91,4.95,100.53,1.86,82.05,8.12,1015.4,0.0,0.0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
2019-02-10,0.81,0.14,0.06,50.24,27.5,64.84,4.63,100.3,2.87,83.26,7.42,1014.4,0.0,0.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
2019-02-11,0.88,0.01,0.22,27.32,372.15,209.32,-4.24,100.07,1.34,51.09,6.86,1019.2,0.0,0.0,0.8660254037844386,0.5000000000000001,0.0,1.0
2019-02-12,0.92,0.02,0.16,64.19,169.43,156.28,-2.51,99.83,1.86,45.36,10.15,1023.5,0.0,0.0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2019-02-13,0.93,0.03,0.05,55.14,6.31,58.66,5.84,99.59,1.95,74.2,10.47,1015.3,0.0,0.0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2019-02-14,0.93,0.23,0.02,21.19,3.64,22.5,11.26,99.35,4.19,91.52,12.61,1011.6,0.15,1.0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2019-02-15,0.92,0.12,0.08,66.93,39.72,89.07,7.44,99.11,3.23,82.86,10.39,1014.0,0.0,0.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2019-02-16,0.83,0.05,0.22,36.9,320.83,204.64,3.7,98.86,2.41,74.93,8.63,1015.7,0.0,0.0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
2019-02-17,0.82,0.11,0.1,42.13,119.2,98.91,2.9,98.61,2.68,79.67,6.46,1014.9,0.0,0.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
2019-02-18,0.9,0.01,0.19,41.69,284.22,189.3,-1.65,98.36,1.36,64.17,5.48,1014.9,0.0,0.0,0.8660254037844386,0.5000000000000001,0.0,1.0
2019-02-19,0.94,0.01,0.23,31.65,365.01,221.75,-4.4,98.1,1.61,52.21,5.93,1018.9,0.0,0.0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2019-02-20,0.96,0.06,0.07,50.62,65.03,75.56,2.79,97.85,2.24,79.09,6.44,1014.7,0.0,0.0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2019-02-21,0.97,0.02,0.08,52.75,59.26,87.3,1.01,97.59,1.75,73.27,5.83,1003.8,0.3,0.0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2019-02-22,0.94,0.03,0.22,38.27,325.29,215.78,-2.81,97.32,1.8,55.26,6.79,1011.2,0.05,0.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2019-02-23,0.86,0.01,0.22,37.41,325.35,219.74,0.12,97.06,1.19,58.54,8.88,1024.2,0.0,0.0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
2019-02-24,0.8,0.01,0.21,36.87,335.42,220.56,0.72,96.79,1.06,52.46,11.27,1024.1,0.0,0.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
2019-02-25,0.91,0.01,0.21,39.2,320.14,217.78,5.07,96.53,1.2,61.52,12.91,1018.6,0.0,0.0,0.8660254037844386,0.5000000000000001,0.0,1.0
2019-02-26,0.92,0.01,0.16,80.39,153.45,168.44,5.66,96.26,1.14,68.07,11.86,1018.1,0.0,0.0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2019-02-27,0.9,0.02,0.16,60.49,194.76,173.03,8.75,95.99,1.45,78.18,13.01,1017.8,0.0,0.0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2019-02-28,0.91,0.02,0.12,79.73,102.84,134.93,10.83,95.71,1.35,84.08,13.65,1017.3,0.0,0.0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2019-03-01,0.88,0.01,0.12,93.78,70.04,136.33,10.28,95.43,1.24,79.33,14.22,1015.6,0.0,0.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
2019-03-02,0.85,0.13,0.04,43.6,20.64,47.73,11.05,95.16,3.14,89.34,12.78,1011.8,0.0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
2019-03-03,0.79,0.05,0.07,65.99,46.32,81.42,9.95,94.88,2.27,85.1,12.49,1013.4,0.0,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
2019-03-04,0.9,0.01,0.12,82.43,93.47,135.47,8.45,94.6,1.38,76.16,13.1,1015.0,0.0,0.0,1.0,6.123233995736766e-17,0.0,1.0
2019-03-05,0.91,0.02,0.13,81.03,124.0,149.76,7.29,94.32,1.6,66.16,14.37,1015.9,0.0,0.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
2019-03-06,0.93,0.09,0.03,34.35,7.2,37.46,10.57,94.03,2.86,86.36,12.83,1012.8,99.99,2.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
2019-03-07,0.91,0.06,0.2,64.18,252.65,210.17,7.91,93.75,2.38,79.96,11.51,1013.6,0.0,0.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
2019-03-08,0.92,0.11,0.19,60.38,237.25,198.29,4.22,93.47,2.84,75.07,9.04,1011.7,0.0,0.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
2019-03-09,0.85,0.03,0.21,54.49,289.87,227.71,5.03,93.18,1.88,75.74,9.53,1014.6,0.0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
2019-03-10,0.83,0.0,0.18,85.41,186.69,198.55,4.79,92.9,0.91,75.65,9.17,1012.2,0.0,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
2019-03-11,0.92,0.03,0.1,94.6,48.56,117.01,5.03,92.61,2.0,71.14,10.57,1013.7,0.0,0.0,1.0,6.123233995736766e-17,0.0,1.0
2019-03-12,0.92,0.04,0.23,46.27,343.62,247.74,7.03,92.32,2.35,73.46,12.42,1008.3,0.07,0.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
2019-03-13,0.87,0.02,0.19,64.83,233.9,206.89,2.74,92.03,1.71,60.98,11.03,1010.5,0.0,0.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
2019-03-14,0.91,0.13,0.26,36.92,414.17,275.17,-2.79,91.75,3.2,45.39,9.85,1023.3,0.0,0.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
2019-03-15,0.87,0.08,0.25,38.68,397.43,269.89,-0.04,91.46,2.73,48.68,11.6,1023.4,0.0,0.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
2019-03-16,0.84,0.06,0.24,43.0,377.69,265.88,2.25,91.17,2.38,44.95,15.04,1018.2,0.0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
2019-03-17,0.81,0.02,0.23,39.88,378.12,265.2,5.98,90.88,1.55,48.78,17.95,1018.7,0.0,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
2019-03-18,0.91,0.02,0.24,39.92,382.07,267.98,8.54,90.59,1.59,55.37,18.58,1014.5,0.0,0.0,1.0,6.123233995736766e-17,0.0,1.0
2019-03-19,0.92,0.03,0.21,76.59,255.9,235.5,9.6,90.3,1.79,69.98,15.56,1014.8,0.0,0.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
2019-03-20,0.91,0.03,0.1,69.5,64.58,114.12,8.11,90.01,1.83,79.61,11.86,1012.6,0.0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
2019-03-21,0.9,0.06,0.11,87.94,89.61,131.35,7.19,89.72,2.3,80.18,10.69,1016.3,0.01,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
2019-03-22,0.88,0.02,0.22,68.15,286.52,249.38,7.26,89.43,1.43,72.0,12.95,1018.7,0.0,0.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
2019-03-23,0.82,0.04,0.16,97.09,153.15,184.32,8.89,89.14,2.01,75.5,13.64,1011.9,0.0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
2019-03-24,0.79,0.01,0.24,53.56,354.77,276.71,6.53,88.86,1.11,62.72,14.93,1015.7,0.0,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
2019-03-25,0.89,0.01,0.24,51.34,376.9,284.06,5.65,88.57,1.49,51.86,16.86,1020.0,0.0,0.0,1.0,6.123233995736766e-17,0.0,1.0
2019-03-26,0.88,0.01,0.22,75.46,300.02,259.5,7.05,88.28,1.2,62.67,15.69,1015.5,0.0,0.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
2019-03-27,0.9,0.03,0.23,60.09,317.52,266.58,9.69,87.99,1.57,77.31,14.19,1012.7,0.0,0.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
2019-03-28,0.9,0.05,0.19,85.79,226.75,221.23,9.07,87.71,1.97,75.93,13.89,1017.7,0.0,0.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
2019-03-29,0.88,0.01,0.24,57.19,341.01,279.02,6.02,87.42,1.48,64.29,14.53,1020.0,0.0,0.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
2019-03-30,0.82,0.01,0.24,48.84,382.21,288.42,4.32,87.14,1.47,48.73,17.09,1012.6,0.0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
2019-03-31,0.81,0.01,0.24,46.83,388.83,293.11,4.01,86.85,1.42,41.3,18.72,1016.1,0.0,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
2019-04-01,0.92,0.01,0.21,89.42,253.83,254.73,6.78,86.57,1.59,51.87,18.18,1016.4,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.0,1.0
2019-04-02,0.92,0.1,0.25,43.27,400.9,295.78,10.13,86.29,2.81,74.66,15.32,1010.4,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
2019-04-03,0.92,0.02,0.14,124.12,69.72,170.65,9.75,86.01,1.8,77.12,14.05,1012.2,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
2019-04-04,0.91,0.04,0.17,84.94,163.02,204.14,9.37,85.73,2.06,75.35,14.13,1014.4,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419
2019-04-05,0.9,0.05,0.12,71.34,124.93,147.74,9.31,85.46,2.07,77.47,13.61,1012.2,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191
2019-04-06,0.82,0.03,0.22,57.97,325.77,262.07,9.18,85.18,1.81,69.59,15.71,1014.4,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
2019-04-07,0.82,0.01,0.22,74.58,298.84,277.17,9.54,84.9,1.24,56.38,19.76,1019.6,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
2019-04-08,0.94,0.01,0.2,102.28,213.33,252.24,11.02,84.63,1.39,52.2,22.32,1018.9,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.0,1.0
2019-04-09,0.9,0.18,0.25,51.7,399.21,306.1,9.03,84.36,3.29,58.46,18.23,1013.4,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
2019-04-10,0.92,0.05,0.26,45.78,428.73,320.56,3.27,84.09,2.44,51.35,15.27,1014.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
2019-04-11,0.92,0.04,0.17,110.95,163.79,213.49,4.78,83.83,1.74,54.8,15.47,1016.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419
2019-04-12,0.9,0.03,0.26,43.51,420.18,318.46,4.98,83.56,1.77,57.1,15.47,1007.7,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191
2019-04-13,0.83,0.02,0.25,46.12,402.51,317.23,5.43,83.3,1.59,50.52,17.59,1013.9,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
2019-04-14,0.8,0.02,0.23,84.65,303.03,286.19,5.36,83.04,1.52,47.89,17.41,1012.9,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
2019-04-15,0.9,0.05,0.23,93.58,280.01,279.2,5.53,82.78,2.04,55.46,15.42,1008.3,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.0,1.0
2019-04-16,0.91,0.05,0.05,58.1,14.74,62.58,8.87,82.52,2.25,77.09,13.15,1008.6,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
2019-04-17,0.93,0.01,0.25,50.66,398.58,320.28,6.88,82.27,1.51,57.28,17.59,1016.9,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
2019-04-18,0.97,0.01,0.24,64.24,365.59,309.16,7.18,82.02,1.35,42.06,22.13,1019.4,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419
2019-04-19,0.98,0.03,0.23,66.28,348.3,301.04,8.72,81.77,1.61,50.53,21.0,1014.8,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191
2019-04-20,0.85,0.06,0.16,111.27,153.0,205.58,9.37,81.52,2.28,73.41,14.42,1007.9,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
2019-04-21,0.79,0.05,0.21,76.89,261.54,264.17,9.75,81.28,2.43,71.43,15.53,1009.9,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
2019-04-22,0.91,0.02,0.25,52.55,389.18,317.41,8.08,81.04,1.62,56.42,18.61,1013.1,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.0,1.0
2019-04-23,0.96,0.02,0.25,47.98,421.95,329.01,8.28,80.8,1.72,47.73,21.41,1013.7,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
2019-04-24,0.97,0.01,0.25,49.47,412.52,325.74,9.15,80.56,1.34,46.71,21.92,1012.8,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
2019-04-25,1.0,0.02,0.25,48.31,415.34,326.31,10.14,80.33,1.38,49.46,22.0,1011.6,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419
2019-04-26,0.97,0.03,0.25,49.93,417.48,329.5,11.7,80.1,1.57,59.7,20.38,1011.4,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191
2019-04-27,0.87,0.03,0.2,87.52,241.89,256.73,11.87,79.87,1.65,69.31,18.43,1009.4,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
2019-04-28,0.83,0.03,0.2,99.41,263.04,265.75,10.19,79.64,1.92,66.77,17.26,1007.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
2019-04-29,0.91,0.05,0.1,102.12,45.6,136.28,10.48,79.42,2.27,76.86,14.76,1004.5,0.0,2.0,0.8660254037844387,-0.4999999999999998,0.0,1.0
2019-04-30,0.92,0.08,0.17,112.45,148.77,222.72,10.59,79.21,2.65,78.08,14.63,1008.7,0.0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
2019-05-01,0.93,0.02,0.25,71.02,367.21,326.69,8.85,78.99,1.55,65.12,16.8,1011.9,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-02,0.93,0.02,0.23,91.73,306.87,305.11,10.41,78.78,1.37,66.65,17.68,1013.2,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
2019-05-03,0.94,0.04,0.25,58.55,402.43,334.2,11.46,78.57,1.6,65.65,18.82,1011.6,0.0,0.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
2019-05-04,0.84,0.03,0.26,59.5,406.57,338.91,10.25,78.37,1.64,67.31,17.71,1008.8,0.0,0.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2019-05-05,0.8,0.08,0.21,63.43,319.95,281.01,9.38,78.17,2.53,69.33,15.91,1006.2,0.0,0.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
2019-05-06,0.91,0.06,0.15,127.9,114.75,196.61,9.88,77.97,2.55,72.83,15.25,1007.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.0,1.0
2019-05-07,0.92,0.04,0.08,88.47,34.83,103.72,11.25,77.77,2.31,78.79,15.13,1011.0,0.01,2.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
2019-05-08,0.92,0.04,0.09,103.98,53.29,128.49,12.23,77.58,2.17,74.82,17.27,1010.3,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-09,0.92,0.03,0.08,100.48,24.52,110.94,12.1,77.39,1.84,76.27,16.64,1005.9,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
2019-05-10,0.91,0.01,0.06,71.68,15.09,78.19,11.06,77.21,0.97,73.03,16.45,1006.2,0.02,1.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
2019-05-11,0.85,0.0,0.19,116.3,203.31,254.34,12.33,77.03,0.94,70.41,18.48,1011.7,0.0,2.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2019-05-12,0.82,0.02,0.25,58.02,400.16,338.76,12.61,76.86,1.5,66.69,20.33,1011.3,0.0,0.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
2019-05-13,0.94,0.03,0.18,89.26,227.97,247.17,13.03,76.69,1.45,68.54,19.92,1011.5,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.0,1.0
2019-05-14,0.96,0.03,0.23,80.8,329.0,308.34,10.9,76.52,1.6,61.04,19.81,1012.4,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
2019-05-15,0.95,0.06,0.21,131.52,184.63,274.58,9.75,76.35,2.2,66.65,16.59,1009.8,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-16,0.92,0.19,0.16,77.76,195.4,214.0,9.57,76.19,3.61,74.91,14.54,1007.1,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
2019-05-17,0.91,0.08,0.23,110.37,303.25,304.01,6.83,76.04,2.4,63.83,15.15,1011.2,0.0,0.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
2019-05-18,0.83,0.05,0.22,124.66,224.19,288.99,8.9,75.89,1.98,66.25,16.22,1012.2,0.0,0.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2019-05-19,0.79,0.16,0.16,113.86,130.51,205.73,8.9,75.74,3.76,75.68,13.44,1007.1,0.0,0.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
